,time,state
0,21,a
1,22,a
2,23,a
3,24,a
4,25,a
5,26,a
6,27,a
7,28,a
8,29,a
9,30,a
10,31,a
11,32,a
12,33,a
13,34,a
14,35,a
15,36,a
16,37,a
17,38,a
18,39,a
19,40,a
20,41,a
21,42,a
22,43,a
23,44,a
24,45,a
25,46,a
26,47,a
27,48,a
28,49,a
29,50,a
30,51,a
31,52,a
32,53,a
33,54,a
34,55,a
35,56,a
36,57,a
37,58,a
38,59,a
39,60,a
40,61,a
41,62,a
42,63,a
43,64,a
44,65,a
45,66,a
46,68,b
47,69,b
48,70,b
49,71,b
50,72,b
51,73,b
52,74,b
53,75,b
54,76,b
55,77,b
56,78,b
57,79,b
58,80,b
59,81,b
60,82,b
61,83,b
62,84,b
63,85,b
64,86,b
65,88,c
66,89,c
67,90,c
68,91,c
69,92,c
70,93,c
71,94,c
72,95,c
73,97,d
74,98,d
75,99,d
76,100,d
77,101,d
78,102,d
79,103,d
80,104,d
81,105,d
82,107,e
83,108,e
84,109,e
85,110,e
86,111,e
87,112,e
88,113,e
89,114,e
90,115,e
91,117,d
92,118,d
93,119,d
94,120,d
95,121,d
96,122,d
97,123,d
98,124,d
99,125,d
100,126,d
101,128,e
102,129,e
103,130,e
104,131,e
105,132,e
106,133,e
107,134,e
108,135,e
109,136,e
110,137,e
111,138,e
112,139,e
113,140,e
114,141,e
115,142,e
116,143,e
117,144,e
118,145,e
119,146,e
120,147,e
121,148,e
122,149,e
123,150,e
124,152,d
125,153,d
126,154,d
127,155,d
128,156,d
129,157,d
130,158,d
131,159,d
132,160,d
133,161,d
134,162,d
135,164,c
136,165,c
137,166,c
138,167,c
139,168,c
140,169,c
141,170,c
142,172,b
143,173,b
144,174,b
145,175,b
146,176,b
147,177,b
148,178,b
149,179,b
150,180,b
151,181,b
152,182,b
153,184,a
154,185,a
155,186,a
156,187,a
157,188,a
158,189,a
159,190,a
160,191,a
161,192,a
162,193,a
163,194,a
164,195,a
165,196,a
166,197,a
167,198,a
168,199,a
169,200,a
170,201,a
171,202,a
172,203,a
173,204,a
174,205,a
175,206,a
176,207,a
177,209,b
178,210,b
179,211,b
180,212,b
181,213,b
182,214,b
183,215,b
184,216,b
185,217,b
186,218,b
187,220,a
188,221,a
189,222,a
190,223,a
191,224,a
192,225,a
193,226,a
194,227,a
195,228,a
196,229,a
197,230,a
198,231,a
199,232,a
200,233,a
201,234,a
202,235,a
203,236,a
204,237,a
205,238,a
206,239,a
207,240,a
208,241,a
209,242,a
210,243,a
211,244,a
212,245,a
213,246,a
214,247,a
215,248,a
216,249,a
217,250,a
218,251,a
219,252,a
220,253,a
221,254,a
222,255,a
223,256,a
224,257,a
225,259,b
226,260,b
227,261,b
228,262,b
229,263,b
230,264,b
231,265,b
