,time,state
0,1,e
1,2,e
2,3,e
3,4,e
4,5,e
5,6,e
6,7,e
7,8,e
8,9,e
9,10,e
10,11,e
11,12,e
12,13,e
13,14,e
14,15,e
15,16,e
16,17,e
17,18,e
18,19,e
19,20,e
20,21,e
21,22,e
22,23,e
23,24,e
24,25,e
25,26,e
26,27,e
27,30,b
28,32,a
29,33,a
30,34,a
31,35,a
32,36,a
33,37,a
34,38,a
35,39,a
36,40,a
37,41,a
38,42,a
39,43,a
40,44,a
41,45,a
42,46,a
43,47,a
44,48,a
45,49,a
46,50,a
47,51,a
48,52,a
49,53,a
50,54,a
51,55,a
52,56,a
53,57,a
54,58,a
55,59,a
56,60,a
57,61,a
58,62,a
59,63,a
60,64,a
61,65,a
62,66,a
63,67,a
64,68,a
65,69,a
66,70,a
67,71,a
68,72,a
69,73,a
70,74,a
71,75,a
72,76,a
73,77,a
74,78,a
75,79,a
76,80,a
77,81,a
78,82,a
79,83,a
80,84,a
81,85,a
82,86,a
83,87,a
84,88,a
85,89,a
86,90,a
87,91,a
88,92,a
89,93,a
90,94,a
91,96,b
92,97,b
93,98,b
94,99,b
95,100,b
96,101,b
97,102,b
98,103,b
99,104,b
100,105,b
101,106,b
102,107,b
103,108,b
104,110,a
105,111,a
106,112,a
107,113,a
108,114,a
109,115,a
110,116,a
111,117,a
112,118,a
113,119,a
114,120,a
115,121,a
116,122,a
117,123,a
118,125,b
119,126,b
120,127,b
121,128,b
122,129,b
123,130,b
124,131,b
125,133,c
126,134,c
127,135,c
128,136,c
129,137,c
130,138,c
131,139,c
132,140,c
133,141,c
134,142,c
135,143,c
136,144,c
137,146,d
138,147,d
139,148,d
140,149,d
141,151,e
142,152,e
143,153,e
144,154,e
145,155,e
146,156,e
147,157,e
148,158,e
149,159,e
150,160,e
151,161,e
152,162,e
153,163,e
154,164,e
155,165,e
156,166,e
157,167,e
158,169,d
159,170,d
160,171,d
161,172,d
162,173,d
163,174,d
164,176,c
165,177,c
166,178,c
167,179,c
168,180,c
169,181,c
170,183,b
171,184,b
172,185,b
173,186,b
174,187,b
175,188,b
176,189,b
177,190,b
178,191,b
179,192,b
180,193,b
181,194,b
182,195,b
183,196,b
184,197,b
185,198,b
186,199,b
187,200,b
188,201,b
189,202,b
190,203,b
191,204,b
192,205,b
193,206,b
194,207,b
195,208,b
196,209,b
197,210,b
198,212,a
199,213,a
200,214,a
201,215,a
202,216,a
203,217,a
204,218,a
205,219,a
206,220,a
207,221,a
208,222,a
209,223,a
210,224,a
211,225,a
212,226,a
213,227,a
214,228,a
215,229,a
216,230,a
217,231,a
218,232,a
219,233,a
220,234,a
221,235,a
222,236,a
223,237,a
224,238,a
225,239,a
226,240,a
227,241,a
228,242,a
229,243,a
230,244,a
231,245,a
232,246,a
233,247,a
234,249,b
235,250,b
236,251,b
237,252,b
238,253,b
239,254,b
240,255,b
241,256,b
242,257,b
243,258,b
244,259,b
245,261,c
246,262,c
247,263,c
248,264,c
249,265,c
250,266,c
251,267,c
252,268,c
253,269,c
254,270,c
255,271,c
256,272,c
257,273,c
258,274,c
259,275,c
260,276,c
261,277,c
262,278,c
263,279,c
264,280,c
265,281,c
266,282,c
267,283,c
268,284,c
269,285,c
270,286,c
271,287,c
272,288,c
273,289,c
274,291,d
275,292,d
276,293,d
277,294,d
278,295,d
279,296,d
280,297,d
281,298,d
282,299,d
283,300,d
284,301,d
285,302,d
286,304,e
287,305,e
288,306,e
289,307,e
290,308,e
291,309,e
292,310,e
293,311,e
294,312,e
295,313,e
296,314,e
297,315,e
298,316,e
299,317,e
300,318,e
301,319,e
302,320,e
303,321,e
304,322,e
305,323,e
306,324,e
307,326,d
308,327,d
309,328,d
310,330,c
311,331,c
312,332,c
313,334,b
314,335,b
315,336,b
316,337,b
317,338,b
318,339,b
319,340,b
320,341,b
321,343,a
322,344,a
323,345,a
324,346,a
325,347,a
326,348,a
327,349,a
328,350,a
329,351,a
330,352,a
331,353,a
332,354,a
333,355,a
334,356,a
335,357,a
336,358,a
337,359,a
338,360,a
339,361,a
340,362,a
341,363,a
342,364,a
343,365,a
344,366,a
345,367,a
346,368,a
347,369,a
348,370,a
349,371,a
350,372,a
351,373,a
352,374,a
353,375,a
354,376,a
355,377,a
356,378,a
357,379,a
358,380,a
359,381,a
360,382,a
361,383,a
362,384,a
363,385,a
364,386,a
365,387,a
366,388,a
367,389,a
368,390,a
369,391,a
370,392,a
371,393,a
372,394,a
373,395,a
374,396,a
375,397,a
376,398,a
377,399,a
378,400,a
379,401,a
380,402,a
381,403,a
382,404,a
383,405,a
384,406,a
385,407,a
386,408,a
387,409,a
388,410,a
389,411,a
390,412,a
391,413,a
392,414,a
393,415,a
394,416,a
395,417,a
396,418,a
397,419,a
398,420,a
399,421,a
400,422,a
401,423,a
402,424,a
403,427,a
404,428,a
405,429,a
406,430,a
407,431,a
408,432,a
409,433,a
410,434,a
411,435,a
412,436,a
413,437,a
414,438,a
415,439,a
416,440,a
417,441,a
418,442,a
419,443,a
420,444,a
421,446,b
422,447,b
423,448,b
424,449,b
425,450,b
426,451,b
427,452,b
428,453,b
429,454,b
430,455,b
431,456,b
432,457,b
433,459,c
434,460,c
435,461,c
436,462,c
437,463,c
438,464,c
439,465,c
440,466,c
441,467,c
442,468,c
443,470,d
444,471,d
445,472,d
446,473,d
447,474,d
448,475,d
449,476,d
450,477,d
451,478,d
452,479,d
453,480,d
454,481,d
455,482,d
456,484,e
457,485,e
458,486,e
459,487,e
460,488,e
461,489,e
462,490,e
463,491,e
464,492,e
465,493,e
466,494,e
467,495,e
468,496,e
469,497,e
470,498,e
471,499,e
472,500,e
473,501,e
474,502,e
475,503,e
476,504,e
477,505,e
478,506,e
479,507,e
480,509,d
481,510,d
482,511,d
483,513,c
484,514,c
485,515,c
486,516,c
487,518,b
488,519,b
489,521,a
490,522,a
491,523,a
492,524,a
493,525,a
494,526,a
495,527,a
496,528,a
497,529,a
498,530,a
499,531,a
500,532,a
501,533,a
502,534,a
503,535,a
504,536,a
505,537,a
506,538,a
507,540,b
508,541,b
509,542,b
510,543,b
511,545,c
512,546,c
513,547,c
514,548,c
515,549,c
516,550,c
517,551,c
518,552,c
519,554,d
520,555,d
521,556,d
522,557,d
523,558,d
524,560,e
525,561,e
526,562,e
527,563,e
528,564,e
529,565,e
530,566,e
531,567,e
532,568,e
