,time,state,acc,ch1,ch2,ch3,ch4,ch5
0,1,e,0.0,0.004750000000000001,0.007249999999999999,0.008150000000000001,0.0038,0.00565
1,2,e,0.0,0.0039499999999999995,0.0048,0.00365,0.00615,0.0075499999999999986
2,3,e,0.0,0.007299999999999998,0.0168,0.012149999999999998,0.015000000000000003,0.0066
3,4,e,0.0,0.010099999999999998,0.0124,0.0099,0.00985,0.0079
4,5,e,0.0,0.005549999999999999,0.010699999999999998,0.007250000000000001,0.00835,0.003400000000000001
5,6,e,0.0,0.0039,0.00955,0.005300000000000001,0.012300000000000002,0.0111
6,7,e,0.0,0.005300000000000001,0.006499999999999999,0.006700000000000001,0.013750000000000002,0.01025
7,8,e,0.0,0.11150000000000003,0.07865,1.43265,0.38625,0.38025
8,9,e,0.0,0.2021,0.1808,0.95465,0.4874500000000001,2.2854
9,10,e,0.0,0.5611499999999999,0.853,0.07064999999999999,0.1332,1.11395
10,11,e,0.0,1.1859000000000002,1.70935,0.8654499999999999,0.72195,0.96345
11,12,e,0.0,0.49585,0.8139,0.1299,0.1013,0.119
12,13,e,0.0,1.05435,1.98815,0.3627,0.5579999999999999,1.12235
13,14,e,0.0,0.5842499999999999,0.8565999999999999,0.6309500000000001,0.9409,0.4174
14,15,e,0.0,0.37125,0.58805,0.0713,0.04249999999999999,0.13899999999999998
15,16,e,0.0,0.0348,0.03685,0.0189,0.0157,0.02745
16,17,e,0.0,0.027999999999999997,0.03265,0.007899999999999999,0.00825,0.0112
17,18,e,0.0,0.02825,0.03005,0.014900000000000004,0.01005,0.01625
18,19,e,0.0,0.016399999999999998,0.0202,0.01365,0.006600000000000001,0.013999999999999999
19,20,e,0.0,0.24625,0.4657,0.0726,0.1197,0.2164
20,21,e,0.0,0.7766,1.36825,0.29945000000000005,0.4884000000000001,0.8348000000000001
21,22,e,0.0,1.70285,1.3525500000000004,0.6382500000000001,0.73785,1.2258
22,23,e,0.0,1.3571,1.7090500000000002,0.7236499999999999,0.9655,0.5971000000000001
23,24,e,0.0,1.4056000000000002,1.7665499999999998,0.4058000000000001,0.7862499999999999,0.8952499999999999
24,25,e,0.0,1.1696000000000002,1.33605,0.24515,0.5429999999999999,0.51
25,26,e,0.0,0.7831,0.8793,0.215,0.6426000000000001,0.5389499999999999
26,27,e,0.0,0.6636000000000001,0.7387999999999999,0.29975,0.6443,0.53765
27,30,b,0.0,1.52335,1.43115,0.30500000000000005,0.5998999999999999,0.6264000000000002
28,32,a,0.0,1.2410500000000002,2.12335,0.28350000000000003,0.40725,0.4864
29,33,a,0.0,1.6845,1.3645,0.22565,0.5361,0.5571999999999999
30,34,a,0.0,1.07305,1.7087,0.20690000000000006,0.30665,0.3988
31,35,a,0.0,1.05675,1.021,0.23995,0.51155,0.49305
32,36,a,0.0,0.9300000000000002,1.31225,0.24425,0.39305,0.59235
33,37,a,0.0,1.094,1.56685,0.26670000000000005,0.6265499999999999,0.6166999999999999
34,38,a,0.0,1.1316,1.4189999999999998,0.2224,0.3301,0.5064
35,39,a,0.0,1.5711499999999998,1.1862,0.28825,0.4731000000000001,0.66835
36,40,a,0.0,1.0042,0.979,0.35015,0.5068499999999999,0.562
37,41,a,0.0,0.96805,1.4462999999999997,0.23355,0.5605999999999999,0.4365000000000001
38,42,a,0.0,1.23885,0.9749,0.1304,0.5332499999999999,0.3280500000000001
39,43,a,0.0,1.0288499999999998,1.12585,0.14669999999999994,0.57545,0.43315
40,44,a,0.0,1.4361500000000005,1.1202,0.17825000000000002,0.36555,0.4079
41,45,a,0.0,0.6734999999999999,0.5325,0.16104999999999994,0.7074,0.27975
42,46,a,0.0,0.5617,1.35395,1.53995,0.4522000000000001,1.1084499999999995
43,47,a,0.0,0.40925,2.3242000000000003,0.43225,1.1718,0.27990000000000004
44,48,a,0.0,0.2941,0.4638500000000001,0.15215,0.5607,0.7937000000000001
45,49,a,0.0,0.1923,0.23805,0.08735000000000001,0.16785,0.22375
46,50,a,0.0,0.1947,0.3671,0.0892,0.26145,0.24855
47,51,a,0.0,0.1618,0.2119,0.051900000000000016,0.08935,0.22445
48,52,a,0.0,0.2017,0.2484,0.05515000000000001,0.18935,0.28675
49,53,a,0.0,0.1851,0.28884999999999994,0.038050000000000014,0.1531,0.27555
50,54,a,0.0,0.23535,0.3914500000000001,0.03855,0.1674,0.27285000000000004
51,55,a,0.0,0.24605,0.3233,0.06765,0.23485,0.2715
52,56,a,0.0,0.19255,0.4057,0.045749999999999985,0.2408,0.35929999999999995
53,57,a,0.0,0.1922,0.4496,0.05385,0.23245,0.32295
54,58,a,0.0,0.19485,0.3083500000000001,0.0335,0.12969999999999998,0.2978
55,59,a,0.0,0.1815,0.5056,0.0621,0.281,0.3054000000000001
56,60,a,0.0,0.20375,0.3434,0.053,0.2082,0.3526
57,61,a,0.0,0.21905,0.39025,0.0475,0.25460000000000005,0.3158
58,62,a,0.0,0.19230000000000005,0.33065000000000005,0.04425,0.16315000000000002,0.29235
59,63,a,0.0,0.1826,0.2797,0.033900000000000007,0.1151,0.3439
60,64,a,0.0,0.1583,0.23475,0.0301,0.12395,0.3102
61,65,a,0.0,0.33214999999999995,0.45715,0.03785,0.2637,0.3304
62,66,a,0.0,3.4525,0.8507000000000001,0.0659,0.6881999999999999,0.84705
63,67,a,0.0,1.5386,1.7595500000000002,0.98785,1.2481,1.3017
64,68,a,0.0,1.18015,1.0451,0.3255,0.66005,0.7838499999999999
65,69,a,0.0,1.50525,2.3317,0.10670000000000003,0.4899,0.7279
66,70,a,0.0,1.1895999999999998,1.0598499999999995,0.09025,0.4344000000000001,0.55085
67,71,a,0.0,0.7171,1.1555,0.0877,0.4532,0.6388
68,72,a,0.0,1.43005,1.40135,0.09645,0.3682,0.7363
69,73,a,0.0,0.97935,1.6999999999999995,0.0789,0.6612499999999999,0.6599999999999999
70,74,a,0.0,1.04595,1.6344,0.1071,0.55515,0.77525
71,75,a,0.0,0.3164,2.3263000000000007,0.1025,0.26605,0.85455
72,76,a,0.0,0.2324500000000001,0.10235,0.32755,0.5910000000000001,1.8957
